          ;       15031;   ;Filtro    ;Inicio                                  ;14072015      ;115014;186.67.203.10  ;OK ;                    ;Inicio de filtrado                                                      
          ;       15031;   ;Filtro    ;tbk_param.txt                           ;14072015      ;115014;186.67.203.10  ;OK ;                    ;Archivo parseado                                                        
          ;       15031;   ;Filtro    ;Terminado                               ;14072015      ;115014;186.67.203.10  ;OK ;                    ;Datos Filtrados con exito                                               
688901453 ;       15031;   ;pago      ;inicio                                  ;14072015      ;115014;186.67.203.10  ;OK ;597026007976        ;Parseo realizado                                                        
688901453 ;       15031;   ;pago      ;https://certificacion.webpay.cl         ;14072015      ;115014;186.67.203.10  ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
688901453 ;       15031;   ;pago      ;https://certificacion.webpay.cl         ;14072015      ;115014;186.67.203.10  ;OK ;597026007976        ;Mac generado                                                            
688901453 ;       15031;   ;pago      ;https://certificacion.webpay.cl         ;14072015      ;115014;186.67.203.10  ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
688901453 ;       15031;   ;pago      ;https://certificacion.webpay.cl         ;14072015      ;115014;186.67.203.10  ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
688901453 ;       15031;   ;pago      ;https://certificacion.webpay.cl         ;14072015      ;115014;186.67.203.10  ;OK ;597026007976        ;Datos listos para ser enviados                                          
688901453 ;       15031;   ;pago      ;https://certificacion.webpay.cl         ;14072015      ;115014;186.67.203.10  ;OK ;597026007976        ;Medio 2: Por redireccion                                                
688901453 ;       15031;   ;pago      ;https://certificacion.webpay.cl         ;14072015      ;115014;186.67.203.10  ;OK ;597026007976        ;Redireccion web                                                         
688901453 ;       15031;   ;pago      ;https://certificacion.webpay.cl         ;14072015      ;115014;186.67.203.10  ;OK ;597026007976        ;Todo OK                                                                 
          ;       15032;   ;resultado ;Desencriptando                          ;14072015      ;115048;200.10.12.55   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;       15032;   ;resultado ;Validacion                              ;14072015      ;115048;200.10.12.55   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;       15032;   ;resultado ;20150714115013                          ;14072015      ;115048;200.10.12.55   ;OK ;                    ;Parseo de los datos                                                     
          ;       15032;   ;resultado ;20150714115013                          ;14072015      ;115048;200.10.12.55   ;OK ;                    ;http://45.55.88.47/xt_compra.php                                        
688901453 ;       15032;   ;transacc  ;688901453                               ;14072015      ;115048;200.10.12.55   ;OK ;597026007976        ;conectandose al port :(80)                                              
688901453 ;       15032;   ;resultado ;logro abrir_conexion                    ;14072015      ;115048;200.10.12.55   ; 0 ;597026007976        ;Abrio socket para conex-com                                             
688901453 ;       15032;   ;transacc  ;688901453                               ;14072015      ;115048;200.10.12.55   ;OK ;597026007976        ;POST a url http://45.55.88.47/xt_compra.php                             
688901453 ;       15032;   ;transacc  ;688901453                               ;14072015      ;115048;200.10.12.55   ;OK ;597026007976        ;mensaje enviado                                                         
          ;       15034;   ;check_mac ;                                        ;14072015      ;115048;EMPTY          ;OK ;                    ;Todo OK                                                                 
688901453 ;       15032;   ;transacc  ;688901453                               ;14072015      ;115048;200.10.12.55   ;OK ;597026007976        ;Llego ACK del Comercio                                                  
688901453 ;       15032;   ;resultado ;20150714115013                          ;14072015      ;115048;200.10.12.55   ;OK ;597026007976        ;tienda acepto transaccion                                               
688901453 ;       15032;   ;resultado ;20150714115013                          ;14072015      ;115048;200.10.12.55   ;OK ;597026007976        ;respuesta enviada a TBK (ACK)                                           
688901453 ;       15032;   ;resultado ;20150714115013                          ;14072015      ;115048;200.10.12.55   ;OK ;597026007976        ;Todo OK                                                                 
          ;       15200;   ;Filtro    ;Inicio                                  ;14072015      ;124641;186.67.203.10  ;OK ;                    ;Inicio de filtrado                                                      
          ;       15200;   ;Filtro    ;tbk_param.txt                           ;14072015      ;124641;186.67.203.10  ;OK ;                    ;Archivo parseado                                                        
          ;       15200;   ;Filtro    ;Terminado                               ;14072015      ;124641;186.67.203.10  ;OK ;                    ;Datos Filtrados con exito                                               
689240138 ;       15200;   ;pago      ;inicio                                  ;14072015      ;124641;186.67.203.10  ;OK ;597026007976        ;Parseo realizado                                                        
689240138 ;       15200;   ;pago      ;https://certificacion.webpay.cl         ;14072015      ;124641;186.67.203.10  ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
689240138 ;       15200;   ;pago      ;https://certificacion.webpay.cl         ;14072015      ;124641;186.67.203.10  ;OK ;597026007976        ;Mac generado                                                            
689240138 ;       15200;   ;pago      ;https://certificacion.webpay.cl         ;14072015      ;124641;186.67.203.10  ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
689240138 ;       15200;   ;pago      ;https://certificacion.webpay.cl         ;14072015      ;124641;186.67.203.10  ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
689240138 ;       15200;   ;pago      ;https://certificacion.webpay.cl         ;14072015      ;124641;186.67.203.10  ;OK ;597026007976        ;Datos listos para ser enviados                                          
689240138 ;       15200;   ;pago      ;https://certificacion.webpay.cl         ;14072015      ;124641;186.67.203.10  ;OK ;597026007976        ;Medio 2: Por redireccion                                                
689240138 ;       15200;   ;pago      ;https://certificacion.webpay.cl         ;14072015      ;124641;186.67.203.10  ;OK ;597026007976        ;Redireccion web                                                         
689240138 ;       15200;   ;pago      ;https://certificacion.webpay.cl         ;14072015      ;124641;186.67.203.10  ;OK ;597026007976        ;Todo OK                                                                 
          ;       15201;   ;resultado ;Desencriptando                          ;14072015      ;124732;200.10.12.55   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;       15201;   ;resultado ;Validacion                              ;14072015      ;124732;200.10.12.55   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;       15201;   ;resultado ;20150714124639                          ;14072015      ;124732;200.10.12.55   ;OK ;                    ;Parseo de los datos                                                     
          ;       15201;   ;resultado ;20150714124639                          ;14072015      ;124732;200.10.12.55   ;OK ;                    ;http://45.55.88.47/xt_compra.php                                        
689240138 ;       15201;   ;transacc  ;689240138                               ;14072015      ;124732;200.10.12.55   ;OK ;597026007976        ;conectandose al port :(80)                                              
689240138 ;       15201;   ;resultado ;logro abrir_conexion                    ;14072015      ;124732;200.10.12.55   ; 0 ;597026007976        ;Abrio socket para conex-com                                             
689240138 ;       15201;   ;transacc  ;689240138                               ;14072015      ;124732;200.10.12.55   ;OK ;597026007976        ;POST a url http://45.55.88.47/xt_compra.php                             
689240138 ;       15201;   ;transacc  ;689240138                               ;14072015      ;124732;200.10.12.55   ;OK ;597026007976        ;mensaje enviado                                                         
          ;       15203;   ;check_mac ;                                        ;14072015      ;124732;EMPTY          ;OK ;                    ;Todo OK                                                                 
689240138 ;       15201;   ;transacc  ;689240138                               ;14072015      ;124732;200.10.12.55   ;OK ;597026007976        ;Llego ACK del Comercio                                                  
689240138 ;       15201;   ;resultado ;20150714124639                          ;14072015      ;124732;200.10.12.55   ;OK ;597026007976        ;tienda acepto transaccion                                               
689240138 ;       15201;   ;resultado ;20150714124639                          ;14072015      ;124732;200.10.12.55   ;OK ;597026007976        ;respuesta enviada a TBK (ACK)                                           
689240138 ;       15201;   ;resultado ;20150714124639                          ;14072015      ;124732;200.10.12.55   ;OK ;597026007976        ;Todo OK                                                                 
          ;       15204;   ;Filtro    ;Inicio                                  ;14072015      ;124740;186.67.203.10  ;OK ;                    ;Inicio de filtrado                                                      
          ;       15204;   ;Filtro    ;tbk_param.txt                           ;14072015      ;124740;186.67.203.10  ;OK ;                    ;Archivo parseado                                                        
          ;       15204;   ;Filtro    ;Terminado                               ;14072015      ;124740;186.67.203.10  ;OK ;                    ;Datos Filtrados con exito                                               
689246098 ;       15204;   ;pago      ;inicio                                  ;14072015      ;124740;186.67.203.10  ;OK ;597026007976        ;Parseo realizado                                                        
689246098 ;       15204;   ;pago      ;https://certificacion.webpay.cl         ;14072015      ;124740;186.67.203.10  ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
689246098 ;       15204;   ;pago      ;https://certificacion.webpay.cl         ;14072015      ;124740;186.67.203.10  ;OK ;597026007976        ;Mac generado                                                            
689246098 ;       15204;   ;pago      ;https://certificacion.webpay.cl         ;14072015      ;124740;186.67.203.10  ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
689246098 ;       15204;   ;pago      ;https://certificacion.webpay.cl         ;14072015      ;124740;186.67.203.10  ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
689246098 ;       15204;   ;pago      ;https://certificacion.webpay.cl         ;14072015      ;124740;186.67.203.10  ;OK ;597026007976        ;Datos listos para ser enviados                                          
689246098 ;       15204;   ;pago      ;https://certificacion.webpay.cl         ;14072015      ;124740;186.67.203.10  ;OK ;597026007976        ;Medio 2: Por redireccion                                                
689246098 ;       15204;   ;pago      ;https://certificacion.webpay.cl         ;14072015      ;124740;186.67.203.10  ;OK ;597026007976        ;Redireccion web                                                         
689246098 ;       15204;   ;pago      ;https://certificacion.webpay.cl         ;14072015      ;124740;186.67.203.10  ;OK ;597026007976        ;Todo OK                                                                 
          ;       15205;   ;resultado ;Desencriptando                          ;14072015      ;124845;200.10.12.55   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;       15205;   ;resultado ;Validacion                              ;14072015      ;124845;200.10.12.55   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;       15205;   ;resultado ;20150714124738                          ;14072015      ;124845;200.10.12.55   ;OK ;                    ;Parseo de los datos                                                     
          ;       15205;   ;resultado ;20150714124738                          ;14072015      ;124845;200.10.12.55   ;OK ;                    ;http://45.55.88.47/xt_compra.php                                        
689246098 ;       15205;   ;transacc  ;689246098                               ;14072015      ;124845;200.10.12.55   ;OK ;597026007976        ;conectandose al port :(80)                                              
689246098 ;       15205;   ;resultado ;logro abrir_conexion                    ;14072015      ;124845;200.10.12.55   ; 0 ;597026007976        ;Abrio socket para conex-com                                             
689246098 ;       15205;   ;transacc  ;689246098                               ;14072015      ;124845;200.10.12.55   ;OK ;597026007976        ;POST a url http://45.55.88.47/xt_compra.php                             
