          ;       26026;   ;Filtro    ;Inicio                                  ;15072015      ;103818;186.67.203.10  ;OK ;                    ;Inicio de filtrado                                                      
          ;       26026;   ;Filtro    ;tbk_param.txt                           ;15072015      ;103818;186.67.203.10  ;OK ;                    ;Archivo parseado                                                        
          ;       26026;   ;Filtro    ;Terminado                               ;15072015      ;103818;186.67.203.10  ;OK ;                    ;Datos Filtrados con exito                                               
697109839 ;       26026;   ;pago      ;inicio                                  ;15072015      ;103818;186.67.203.10  ;OK ;597026007976        ;Parseo realizado                                                        
697109839 ;       26026;   ;pago      ;https://certificacion.webpay.cl         ;15072015      ;103818;186.67.203.10  ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
697109839 ;       26026;   ;pago      ;https://certificacion.webpay.cl         ;15072015      ;103818;186.67.203.10  ;OK ;597026007976        ;Mac generado                                                            
697109839 ;       26026;   ;pago      ;https://certificacion.webpay.cl         ;15072015      ;103818;186.67.203.10  ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
697109839 ;       26026;   ;pago      ;https://certificacion.webpay.cl         ;15072015      ;103818;186.67.203.10  ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
697109839 ;       26026;   ;pago      ;https://certificacion.webpay.cl         ;15072015      ;103818;186.67.203.10  ;OK ;597026007976        ;Datos listos para ser enviados                                          
697109839 ;       26026;   ;pago      ;https://certificacion.webpay.cl         ;15072015      ;103818;186.67.203.10  ;OK ;597026007976        ;Medio 2: Por redireccion                                                
697109839 ;       26026;   ;pago      ;https://certificacion.webpay.cl         ;15072015      ;103818;186.67.203.10  ;OK ;597026007976        ;Redireccion web                                                         
697109839 ;       26026;   ;pago      ;https://certificacion.webpay.cl         ;15072015      ;103818;186.67.203.10  ;OK ;597026007976        ;Todo OK                                                                 
          ;       26027;   ;resultado ;Desencriptando                          ;15072015      ;103844;200.10.12.55   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;       26027;   ;resultado ;Validacion                              ;15072015      ;103844;200.10.12.55   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;       26027;   ;resultado ;18                                      ;15072015      ;103844;200.10.12.55   ;OK ;                    ;Parseo de los datos                                                     
          ;       26027;   ;resultado ;18                                      ;15072015      ;103844;200.10.12.55   ;OK ;                    ;http://45.55.88.47/?wc-api=WC_Gateway_Webpayplus&xt_compra              
697109839 ;       26027;   ;transacc  ;697109839                               ;15072015      ;103844;200.10.12.55   ;OK ;597026007976        ;conectandose al port :(80)                                              
697109839 ;       26027;   ;resultado ;logro abrir_conexion                    ;15072015      ;103844;200.10.12.55   ; 0 ;597026007976        ;Abrio socket para conex-com                                             
697109839 ;       26027;   ;transacc  ;697109839                               ;15072015      ;103844;200.10.12.55   ;OK ;597026007976        ;POST a url http://45.55.88.47/?wc-api=WC_Gateway_Webpayplus&xt_compra   
697109839 ;       26027;   ;transacc  ;697109839                               ;15072015      ;103844;200.10.12.55   ;OK ;597026007976        ;mensaje enviado                                                         
          ;       26029;   ;check_mac ;                                        ;15072015      ;103844;EMPTY          ;OK ;                    ;Todo OK                                                                 
697109839 ;       26027;   ;transacc  ;697109839                               ;15072015      ;103844;200.10.12.55   ;OK ;597026007976        ;Llego ACK del Comercio                                                  
697109839 ;       26027;   ;resultado ;18                                      ;15072015      ;103844;200.10.12.55   ;OK ;597026007976        ;tienda acepto transaccion                                               
697109839 ;       26027;   ;resultado ;18                                      ;15072015      ;103844;200.10.12.55   ;OK ;597026007976        ;respuesta enviada a TBK (ACK)                                           
697109839 ;       26027;   ;resultado ;18                                      ;15072015      ;103844;200.10.12.55   ;OK ;597026007976        ;Todo OK                                                                 
          ;       26259;   ;Filtro    ;Inicio                                  ;15072015      ;142233;186.67.203.10  ;OK ;                    ;Inicio de filtrado                                                      
          ;       26259;   ;Filtro    ;tbk_param.txt                           ;15072015      ;142233;186.67.203.10  ;OK ;                    ;Archivo parseado                                                        
          ;       26259;   ;Filtro    ;Terminado                               ;15072015      ;142233;186.67.203.10  ;OK ;                    ;Datos Filtrados con exito                                               
698455388 ;       26259;   ;pago      ;inicio                                  ;15072015      ;142233;186.67.203.10  ;OK ;597026007976        ;Parseo realizado                                                        
698455388 ;       26259;   ;pago      ;https://certificacion.webpay.cl         ;15072015      ;142233;186.67.203.10  ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
